"","county","n"
"1","ARKANSAS",1
"2","BAXTER",1
"3","COLUMBIA",1
"4","CONWAY",1
"5","DESHA",1
"6","LAFAYETTE",1
"7","LONOKE",1
"8","MILLER",1
"9","NEVADA",1
"10","NEWTON",1
"11","POPE",1
"12","SEBASTIAN",1
"13","WOODRUFF",1
"14","CRITTENDEN",2
"15","HEMPSTEAD",2
"16","JACKSON",2
"17","LEE",2
"18","LITTLE RIVER",2
"19","MISSISSIPPI",2
"20","MONROE",2
"21","GARLAND",3
"22","LINCOLN",3
"23","UNION",3
"24","ST. FRANCIS",4
